YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,N407AS,ANC,SEA,0005,2354,-11,21,0015,205,194,169,1448,0404,4,0430,0408,-22,0,0,,,,,,
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,0010,0002,-8,12,0014,280,279,263,2330,0737,4,0750,0741,-9,0,0,,,,,,
2015,1,1,4,US,840,N171US,SFO,CLT,0020,0018,-2,16,0034,286,293,266,2296,0800,11,0806,0811,5,0,0,,,,,,
2015,1,1,4,AA,258,N3HYAA,LAX,MIA,0020,0015,-5,15,0030,285,281,258,2342,0748,8,0805,0756,-9,0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,0025,0024,-1,11,0035,235,215,199,1448,0254,5,0320,0259,-21,0,0,,,,,,
2015,1,1,4,DL,806,N3730B,SFO,MSP,0025,0020,-5,18,0038,217,230,206,1589,0604,6,0602,0610,8,0,0,,,,,,
2015,1,1,4,NK,612,N635NK,LAS,MSP,0025,0019,-6,11,0030,181,170,154,1299,0504,5,0526,0509,-17,0,0,,,,,,
2015,1,1,4,US,2013,N584UW,LAX,CLT,0030,0044,14,13,0057,273,249,228,2125,0745,8,0803,0753,-10,0,0,,,,,,
2015,1,1,4,AA,1112,N3LAAA,SFO,DFW,0030,0019,-11,17,0036,195,193,173,1464,0529,3,0545,0532,-13,0,0,,,,,,
2015,1,1,4,DL,1173,N826DN,LAS,ATL,0030,0033,3,12,0045,221,203,186,1747,0651,5,0711,0656,-15,0,0,,,,,,
2015,1,1,4,DL,2336,N958DN,DEN,ATL,0030,0024,-6,12,0036,173,149,133,1199,0449,4,0523,0453,-30,0,0,,,,,,
2015,1,1,4,AA,1674,N853AA,LAS,MIA,0035,0027,-8,21,0048,268,266,238,2174,0746,7,0803,0753,-10,0,0,,,,,,
2015,1,1,4,DL,1434,N547US,LAX,MSP,0035,0035,0,18,0053,214,210,188,1535,0601,4,0609,0605,-4,0,0,,,,,,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,0040,0034,-6,18,0052,215,199,176,1590,0548,5,0615,0553,-22,0,0,,,,,,
2015,1,1,4,DL,2440,N651DL,SEA,MSP,0040,0039,-1,28,0107,189,198,166,1399,0553,4,0549,0557,8,0,0,,,,,,
2015,1,1,4,AS,108,N309AS,ANC,SEA,0045,0041,-4,17,0058,204,194,173,1448,0451,4,0509,0455,-14,0,0,,,,,,
2015,1,1,4,DL,1560,N3743H,ANC,SEA,0045,0031,-14,25,0056,210,200,171,1448,0447,4,0515,0451,-24,0,0,,,,,,
